#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Host Connected,Stopped,End of File
91,09-06-2022 05:29:33,14.58,0.00,,,
92,09-06-2022 06:29:33,14.33,0.00,,,
93,09-06-2022 07:29:33,14.07,1.29,,,
94,09-06-2022 08:29:33,13.85,2.37,,,
95,09-06-2022 09:29:33,13.94,3.02,,,
96,09-06-2022 10:29:33,14.45,8.90,,,
97,09-06-2022 11:29:33,14.88,20.46,,,
98,09-06-2022 12:29:33,15.44,17.62,,,
99,09-06-2022 13:29:33,16.13,26.13,,,
100,09-06-2022 14:29:33,16.60,239.52,,,
101,09-06-2022 15:29:33,16.90,59.22,,,
102,09-06-2022 16:29:33,16.99,23.05,,,
103,09-06-2022 17:29:33,16.94,14.79,,,
104,09-06-2022 18:01:30,,,Logged,,
105,09-06-2022 18:01:53,,,Logged,,
106,09-06-2022 18:02:17,,,Logged,,
107,09-06-2022 18:02:55,,,,Logged,Logged
