#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Host Connected,Stopped,End of File
1,09-02-2022 13:29:33,43.80,74997.76,,,
2,09-02-2022 13:30:20,,,Logged,,
3,09-02-2022 13:30:39,,,Logged,,
4,09-02-2022 14:29:33,20.85,13818.88,,,
5,09-02-2022 15:29:33,22.69,14842.88,,,
6,09-02-2022 16:29:33,21.36,423.84,,,
7,09-02-2022 17:29:33,21.62,318.08,,,
8,09-02-2022 18:29:33,20.89,231.28,,,
9,09-02-2022 19:29:33,19.73,109.48,,,
10,09-02-2022 20:29:33,18.62,3.67,,,
11,09-02-2022 21:29:33,17.84,0.00,,,
12,09-02-2022 22:29:33,17.16,0.00,,,
13,09-02-2022 23:29:33,16.69,0.00,,,
14,09-03-2022 00:29:33,16.39,0.00,,,
15,09-03-2022 01:29:33,16.00,0.00,,,
16,09-03-2022 02:29:33,15.53,0.00,,,
17,09-03-2022 03:29:33,15.01,0.00,,,
18,09-03-2022 04:29:33,14.58,0.00,,,
19,09-03-2022 05:29:33,14.11,0.00,,,
20,09-03-2022 06:29:33,13.73,3.02,,,
21,09-03-2022 07:29:33,13.38,113.80,,,
22,09-03-2022 08:29:33,13.25,327.52,,,
23,09-03-2022 09:29:33,13.38,523.04,,,
24,09-03-2022 10:29:33,13.47,610.72,,,
25,09-03-2022 11:29:33,14.45,835.20,,,
26,09-03-2022 12:29:33,16.30,1282.88,,,
27,09-03-2022 13:29:33,17.59,1119.36,,,
28,09-03-2022 14:29:33,17.97,1681.92,,,
29,09-03-2022 15:29:33,18.44,5329.92,,,
30,09-03-2022 16:29:33,17.89,920.64,,,
31,09-03-2022 17:29:33,18.40,551.04,,,
32,09-03-2022 18:29:33,19.35,253.12,,,
33,09-03-2022 19:29:33,19.69,40.87,,,
34,09-03-2022 20:29:33,19.47,0.64,,,
35,09-03-2022 21:29:33,19.09,0.00,,,
36,09-03-2022 22:29:33,18.66,0.00,,,
37,09-03-2022 23:29:33,18.14,0.00,,,
38,09-04-2022 00:29:33,17.72,0.00,,,
39,09-04-2022 01:29:33,17.41,0.00,,,
40,09-04-2022 02:29:33,17.16,0.00,,,
41,09-04-2022 03:29:33,16.99,0.00,,,
42,09-04-2022 04:29:33,16.77,0.00,,,
43,09-04-2022 05:29:33,16.69,0.00,,,
44,09-04-2022 06:29:33,16.64,0.00,,,
45,09-04-2022 07:29:33,16.64,13.03,,,
46,09-04-2022 08:29:33,16.94,43.52,,,
47,09-04-2022 09:29:33,17.16,63.12,,,
48,09-04-2022 10:29:33,17.72,80.98,,,
49,09-04-2022 11:29:33,18.27,89.72,,,
50,09-04-2022 12:29:33,18.74,74.82,,,
51,09-04-2022 13:29:33,19.47,114.00,,,
52,09-04-2022 14:29:33,19.99,310.32,,,
53,09-04-2022 15:29:33,20.50,332.16,,,
54,09-04-2022 16:29:33,20.68,62.62,,,
55,09-04-2022 17:29:33,20.76,46.10,,,
56,09-04-2022 18:29:33,20.72,27.86,,,
57,09-04-2022 19:29:33,20.29,3.45,,,
58,09-04-2022 20:29:33,19.65,0.00,,,
59,09-04-2022 21:29:33,19.17,0.00,,,
60,09-04-2022 22:29:33,18.79,0.00,,,
61,09-04-2022 23:29:33,18.44,0.00,,,
62,09-05-2022 00:29:33,18.19,0.00,,,
63,09-05-2022 01:29:33,17.97,0.00,,,
64,09-05-2022 02:29:33,17.72,0.00,,,
65,09-05-2022 03:29:33,17.59,0.00,,,
66,09-05-2022 04:29:33,17.50,0.00,,,
67,09-05-2022 05:29:33,17.20,0.00,,,
68,09-05-2022 06:29:33,17.07,0.21,,,
69,09-05-2022 07:29:33,16.99,6.93,,,
70,09-05-2022 08:29:33,16.94,20.03,,,
71,09-05-2022 09:29:33,16.86,29.15,,,
72,09-05-2022 10:29:33,16.81,12.17,,,
73,09-05-2022 11:29:33,16.47,12.17,,,
74,09-05-2022 12:29:33,15.96,3.23,,,
75,09-05-2022 13:29:33,16.17,13.06,,,
76,09-05-2022 14:29:33,15.78,3.69,,,
77,09-05-2022 15:29:33,16.13,7.61,,,
78,09-05-2022 16:29:33,16.73,7.80,,,
79,09-05-2022 17:29:33,17.11,7.15,,,
80,09-05-2022 18:29:33,17.33,9.77,,,
81,09-05-2022 19:29:33,17.24,3.23,,,
82,09-05-2022 20:29:33,17.03,0.00,,,
83,09-05-2022 21:29:33,16.60,0.00,,,
84,09-05-2022 22:29:33,16.34,0.00,,,
85,09-05-2022 23:29:33,16.13,0.00,,,
86,09-06-2022 00:29:33,15.87,0.00,,,
87,09-06-2022 01:29:33,15.70,0.00,,,
88,09-06-2022 02:29:33,15.48,0.00,,,
89,09-06-2022 03:29:33,15.27,0.00,,,
90,09-06-2022 04:29:33,14.93,0.00,,,
